OTU.ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU93,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella alpina
OTU94,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU95,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU96,Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
OTU97,Fungi,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA
OTU98,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Ulocladium,Ulocladium dauci
OTU99,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU100,Fungi,Ascomycota,Lecanoromycetes,Pertusariales,NA,NA,NA
OTU101,Fungi,Ascomycota,Schizosaccharomycetes,Schizosaccharomycetales,NA,NA,NA
OTU102,Fungi,Ascomycota,Pezizomycetes,Pezizales,NA,NA,NA
OTU103,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU104,Fungi,Ascomycota,Pezizomycetes,Pezizales,NA,NA,NA
OTU105,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,NA
OTU106,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,NA,NA
OTU107,Fungi,Ascomycota,Sordariomycetes,Xylariales,NA,NA,NA
OTU108,Fungi,Ascomycota,Dothideomycetes,Dothideales,NA,NA,NA
OTU109,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Podosphaera,Podosphaera caricae-papayae
OTU110,Fungi,Basidiomycota,Agaricomycetes,Russulales,NA,NA,NA
OTU111,Fungi,NA,NA,NA,NA,NA,NA
OTU112,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella alpina
OTU113,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU114,Fungi,Ascomycota,Eurotiomycetes,Verrucariales,Verrucariaceae,Placidium,Placidium lacinulatum var lacinulatum
OTU115,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Westerdykella,NA
OTU116,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,NA
OTU117,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Acrophialophora,Acrophialophora levis
OTU118,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU119,Fungi,Ascomycota,Pezizomycetes,NA,NA,NA,NA
OTU120,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU121,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,NA,NA,NA
OTU122,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,NA
OTU123,Fungi,NA,NA,NA,NA,NA,NA
OTU124,Fungi,Ascomycota,Eurotiomycetes,Verrucariales,Verrucariaceae,Placidium,Placidium lacinulatum var erythrostratum
OTU125,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU126,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU127,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
OTU128,Rhizaria,Cercozoa,NA,NA,NA,NA,NA
OTU129,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,NA
OTU130,Fungi,Ascomycota,Pezizomycetes,NA,NA,NA,NA
OTU131,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU132,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,NA,NA
OTU133,Fungi,Ascomycota,Dothideomycetes,NA,NA,NA,NA
OTU134,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,NA
OTU135,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU136,Fungi,Ascomycota,Dothideomycetes,NA,NA,NA,NA
OTU137,Fungi,NA,NA,NA,NA,NA,NA
OTU138,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU139,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,NA,NA
OTU140,Fungi,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA
OTU142,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU143,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,NA
OTU144,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,NA
OTU145,Fungi,Ascomycota,Pezizomycetes,Pezizales,NA,NA,NA
OTU146,Fungi,Entomophthoromycota,Basidiobolomycetes,Basidiobolales,Basidiobolaceae,Basidiobolus,Basidiobolus microsporus
OTU147,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,NA
OTU148,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Epicoccum,NA
OTU149,Fungi,Ascomycota,Dothideomycetes,Dothideales,NA,NA,NA
OTU150,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU151,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU152,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,NA
OTU153,Fungi,Basidiomycota,Tremellomycetes,Tremellales,NA,NA,NA
OTU154,Fungi,Ascomycota,Sordariomycetes,Xylariales,NA,NA,NA
OTU155,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lophiostomataceae,Lophiostoma,NA
OTU156,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,NA,NA
OTU157,Fungi,Ascomycota,Lecanoromycetes,Ostropales,NA,NA,NA
OTU158,Fungi,NA,NA,NA,NA,NA,NA
OTU159,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
OTU160,Rhizaria,Cercozoa,NA,NA,NA,NA,NA
OTU161,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU162,Fungi,Ascomycota,Leotiomycetes,NA,NA,NA,NA
OTU163,Fungi,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA
OTU164,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU165,Fungi,NA,NA,NA,NA,NA,NA
OTU166,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,NA,NA,NA
OTU167,Fungi,Ascomycota,Pezizomycetes,Pezizales,NA,NA,NA
OTU168,Fungi,Olpidiomycota,Olpidiomycetes,Olpidiales,NA,NA,NA
OTU169,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU170,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU171,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU172,Fungi,NA,NA,NA,NA,NA,NA
OTU173,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Phoma,NA
OTU174,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces pinophilus
OTU175,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,NA,NA
OTU176,Fungi,Ascomycota,Eurotiomycetes,Onygenales,NA,NA,NA
OTU177,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Arnium,NA
OTU178,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Geotrichum,Geotrichum europaeum
OTU179,Fungi,Olpidiomycota,Olpidiomycetes,Olpidiales,NA,NA,NA
OTU180,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU181,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU182,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,Botrytis cinerea
OTU183,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Curvularia inaequalis
OTU184,Fungi,Ascomycota,Lecanoromycetes,Acarosporales,NA,NA,NA
OTU185,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU186,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU187,Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothideaceae,Endoconidioma,Endoconidioma populi
OTU189,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,NA,NA,NA
OTU190,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU191,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU192,Rhizaria,Cercozoa,NA,NA,NA,NA,NA
OTU193,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU194,Fungi,NA,NA,NA,NA,NA,NA
OTU195,Fungi,Blastocladiomycota,Blastocladiomycetes,Blastocladiales,Catenariaceae,NA,NA
OTU196,Fungi,Ascomycota,Taphrinomycetes,Taphrinales,Protomycetaceae,Saitoella,Saitoella coloradoensis
OTU197,Fungi,Olpidiomycota,Olpidiomycetes,Olpidiales,Olpidiaceae,Olpidium,Olpidium virulentus
OTU199,Fungi,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA
OTU200,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU201,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU202,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU203,Fungi,Basidiomycota,Tremellomycetes,Tremellales,NA,NA,NA
OTU204,Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,NA,NA
OTU205,Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
OTU206,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,NA,NA,NA
OTU207,Rhizaria,Cercozoa,NA,NA,NA,NA,NA
OTU208,Rhizaria,Cercozoa,NA,NA,NA,NA,NA
OTU209,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU210,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU211,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU212,Fungi,Ascomycota,Dothideomycetes,Capnodiales,NA,NA,NA
OTU213,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,NA,NA
OTU214,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Lecanicillium,Lecanicillium psalliotae
OTU215,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Sporormiella,NA
OTU216,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU217,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Tulostoma,NA
OTU218,Fungi,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,NA,NA
OTU219,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,NA,NA,NA
OTU220,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU221,Fungi,NA,NA,NA,NA,NA,NA
OTU222,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,NA
OTU223,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU224,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,NA,NA
OTU225,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Sporormiella,NA
OTU226,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,NA
OTU227,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Crepidotaceae,Crepidotus,NA
OTU228,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,NA,NA
OTU229,Fungi,Entomophthoromycota,Basidiobolomycetes,Basidiobolales,Basidiobolaceae,Basidiobolus,Basidiobolus ranarum
OTU230,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU231,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,NA,NA,NA
OTU232,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria embellisia
OTU233,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,NA,NA
OTU234,Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
OTU235,Fungi,Ascomycota,Eurotiomycetes,Phaeomoniellales,NA,NA,NA
OTU236,Fungi,NA,NA,NA,NA,NA,NA
OTU237,Fungi,Mucoromycota,Mucoromycetes,Mucorales,NA,NA,NA
OTU238,Fungi,Ascomycota,Schizosaccharomycetes,Schizosaccharomycetales,NA,NA,NA
OTU239,Fungi,Mucoromycota,Mucoromycetes,Mucorales,NA,NA,NA
OTU240,Fungi,NA,NA,NA,NA,NA,NA
OTU241,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
OTU242,Fungi,Ascomycota,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces,NA
OTU243,Rhizaria,Cercozoa,NA,NA,NA,NA,NA
OTU244,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU245,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU246,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,NA,NA,NA
OTU247,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU249,Fungi,NA,NA,NA,NA,NA,NA
OTU250,Fungi,Ascomycota,Dothideomycetes,NA,NA,Catenulomyces,Catenulomyces convolutus
OTU251,Fungi,Ascomycota,Schizosaccharomycetes,Schizosaccharomycetales,NA,NA,NA
OTU252,Fungi,Ascomycota,Pezizomycetes,Pezizales,NA,NA,NA
OTU253,Fungi,Ascomycota,Pezizomycetes,NA,NA,NA,NA
OTU254,Fungi,Basidiomycota,Agaricomycetes,Russulales,NA,NA,NA
OTU255,Fungi,NA,NA,NA,NA,NA,NA
OTU256,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,NA,NA
OTU257,Fungi,Ascomycota,Geoglossomycetes,Geoglossales,NA,NA,NA
OTU258,Fungi,NA,NA,NA,NA,NA,NA
OTU259,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU260,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU261,Fungi,Ascomycota,Dothideomycetes,NA,NA,NA,NA
OTU262,Rhizaria,Cercozoa,NA,NA,NA,NA,NA
OTU263,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,NA
OTU264,Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
OTU265,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,NA
OTU266,Fungi,Rozellomycota,NA,NA,NA,NA,NA
OTU267,Fungi,Blastocladiomycota,Blastocladiomycetes,Blastocladiales,NA,NA,NA
OTU268,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,NA
OTU269,Fungi,Ascomycota,Sordariomycetes,Microascales,NA,NA,NA
OTU271,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Tulostoma,NA
OTU272,Fungi,NA,NA,NA,NA,NA,NA
OTU273,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU274,Fungi,Ascomycota,Schizosaccharomycetes,Schizosaccharomycetales,NA,NA,NA
OTU275,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU276,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,NA
OTU277,Rhizaria,Cercozoa,NA,NA,NA,NA,NA
OTU278,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU279,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU280,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum
OTU281,Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,Acarospora fuscata
OTU282,Fungi,NA,NA,NA,NA,NA,NA
OTU283,Fungi,NA,NA,NA,NA,NA,NA
OTU284,Rhizaria,Cercozoa,NA,NA,NA,NA,NA
OTU285,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,NA
OTU286,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA
OTU287,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,NA,NA,NA
OTU288,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU289,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU290,Fungi,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,NA,NA
OTU291,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,NA,NA
OTU292,Fungi,NA,NA,NA,NA,NA,NA
OTU293,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU294,Rhizaria,Cercozoa,NA,NA,NA,NA,NA
OTU295,Fungi,Ascomycota,Dothideomycetes,Jahnulales,NA,NA,NA
OTU296,Fungi,Ascomycota,Pezizomycetes,Pezizales,NA,NA,NA
OTU297,Fungi,Basidiomycota,Tremellomycetes,NA,NA,NA,NA
OTU298,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Neophaeosphaeria,NA
OTU299,Fungi,NA,NA,NA,NA,NA,NA
OTU300,Rhizaria,Cercozoa,NA,NA,NA,NA,NA
OTU301,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium herbarum
OTU302,Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
OTU303,Fungi,Basidiomycota,Agaricomycetes,NA,NA,NA,NA
OTU304,Fungi,NA,NA,NA,NA,NA,NA
OTU305,Fungi,Ascomycota,Pezizomycetes,Pezizales,NA,NA,NA
OTU306,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
OTU307,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU308,Fungi,Ascomycota,Dothideomycetes,NA,NA,NA,NA
OTU309,Fungi,NA,NA,NA,NA,NA,NA
OTU310,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU311,Fungi,Basidiomycota,Agaricomycetes,NA,NA,NA,NA
OTU312,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU313,Fungi,NA,NA,NA,NA,NA,NA
OTU314,Fungi,Ascomycota,Pneumocystidomycetes,Pneumocystidales,NA,NA,NA
OTU315,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia terricola
OTU316,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Sporormiella,Sporormiella septenaria
OTU317,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,NA,NA
OTU318,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,NA,NA,NA
OTU319,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU320,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
OTU321,Fungi,Ascomycota,Dothideomycetes,NA,NA,NA,NA
OTU322,Fungi,NA,NA,NA,NA,NA,NA
OTU323,Fungi,NA,NA,NA,NA,NA,NA
OTU324,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,NA,NA,NA
OTU325,Fungi,NA,NA,NA,NA,NA,NA
OTU326,Fungi,Ascomycota,Pezizomycetes,Pezizales,NA,NA,NA
OTU327,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU328,Fungi,Ascomycota,Dothideomycetes,NA,NA,NA,NA
OTU329,Fungi,Ascomycota,Dothideomycetes,Capnodiales,NA,NA,NA
OTU330,Rhizaria,Cercozoa,NA,NA,NA,NA,NA
OTU331,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium brachygibbosum
OTU332,Fungi,Ascomycota,NA,NA,NA,NA,NA
