	OUT.ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU68	OTU68	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU70	OTU70	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	NA
OTU71	OTU71	Fungi	Ascomycota	Eurotiomycetes	Phaeomoniellales	NA	NA	NA
OTU72	OTU72	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	Thyrostroma	NA
OTU73	OTU73	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU74	OTU74	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neostagonospora	NA
OTU75	OTU75	Fungi	Basidiomycota	Agaricomycetes	NA	NA	NA	NA
OTU76	OTU76	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU77	OTU77	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU78	OTU78	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	NA
OTU79	OTU79	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU80	OTU80	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU81	OTU81	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Coniosporium	NA
OTU82	OTU82	Fungi	Ascomycota	Eurotiomycetes	Onygenales	NA	NA	NA
OTU83	OTU83	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	NA
OTU84	OTU84	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
OTU85	OTU85	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU86	OTU86	Fungi	NA	NA	NA	NA	NA	NA
OTU87	OTU87	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU88	OTU88	Fungi	NA	NA	NA	NA	NA	NA
OTU89	OTU89	Fungi	NA	NA	NA	NA	NA	NA
OTU90	OTU90	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
OTU91	OTU91	Fungi	Mucoromycota	Mucoromycetes	Mucorales	NA	NA	NA
OTU92	OTU92	Fungi	Basidiomycota	Dacrymycetes	Dacrymycetales	NA	NA	NA
OTU93	OTU93	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina
OTU94	OTU94	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU95	OTU95	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU96	OTU96	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
OTU97	OTU97	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA
OTU98	OTU98	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Ulocladium	Ulocladium dauci
OTU99	OTU99	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU100	OTU100	Fungi	Ascomycota	Lecanoromycetes	Pertusariales	NA	NA	NA
OTU101	OTU101	Fungi	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	NA	NA	NA
OTU102	OTU102	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
OTU103	OTU103	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU104	OTU104	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
OTU105	OTU105	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	NA
OTU106	OTU106	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	NA	NA
OTU107	OTU107	Fungi	Ascomycota	Sordariomycetes	Xylariales	NA	NA	NA
OTU108	OTU108	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA
OTU109	OTU109	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Podosphaera	Podosphaera caricae-papayae
OTU110	OTU110	Fungi	Basidiomycota	Agaricomycetes	Russulales	NA	NA	NA
OTU111	OTU111	Fungi	NA	NA	NA	NA	NA	NA
OTU112	OTU112	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina
OTU113	OTU113	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU114	OTU114	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Placidium	Placidium lacinulatum var lacinulatum
OTU115	OTU115	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Westerdykella	NA
OTU116	OTU116	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	NA
OTU117	OTU117	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Acrophialophora	Acrophialophora levis
OTU118	OTU118	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU119	OTU119	Fungi	Ascomycota	Pezizomycetes	NA	NA	NA	NA
OTU120	OTU120	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU121	OTU121	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	NA	NA	NA
OTU122	OTU122	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbilia	NA
OTU123	OTU123	Fungi	NA	NA	NA	NA	NA	NA
OTU124	OTU124	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Placidium	Placidium lacinulatum var erythrostratum
OTU125	OTU125	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU126	OTU126	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU127	OTU127	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
OTU128	OTU128	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU129	OTU129	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
OTU130	OTU130	Fungi	Ascomycota	Pezizomycetes	NA	NA	NA	NA
OTU131	OTU131	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU132	OTU132	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	NA
OTU133	OTU133	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU134	OTU134	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
OTU135	OTU135	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU136	OTU136	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU137	OTU137	Fungi	NA	NA	NA	NA	NA	NA
OTU138	OTU138	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU139	OTU139	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	NA	NA
OTU140	OTU140	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA
OTU142	OTU142	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU143	OTU143	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
OTU144	OTU144	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
OTU145	OTU145	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
OTU146	OTU146	Fungi	Entomophthoromycota	Basidiobolomycetes	Basidiobolales	Basidiobolaceae	Basidiobolus	Basidiobolus microsporus
OTU147	OTU147	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
OTU148	OTU148	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	NA
OTU149	OTU149	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA
OTU150	OTU150	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU151	OTU151	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU152	OTU152	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
OTU153	OTU153	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
OTU154	OTU154	Fungi	Ascomycota	Sordariomycetes	Xylariales	NA	NA	NA
OTU155	OTU155	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma	NA
OTU156	OTU156	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	NA	NA
OTU157	OTU157	Fungi	Ascomycota	Lecanoromycetes	Ostropales	NA	NA	NA
OTU158	OTU158	Fungi	NA	NA	NA	NA	NA	NA
OTU159	OTU159	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
OTU160	OTU160	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU161	OTU161	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU162	OTU162	Fungi	Ascomycota	Leotiomycetes	NA	NA	NA	NA
OTU163	OTU163	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA
OTU164	OTU164	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU165	OTU165	Fungi	NA	NA	NA	NA	NA	NA
OTU166	OTU166	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	NA	NA	NA
OTU167	OTU167	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
OTU168	OTU168	Fungi	Olpidiomycota	Olpidiomycetes	Olpidiales	NA	NA	NA
OTU169	OTU169	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU170	OTU170	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU171	OTU171	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU172	OTU172	Fungi	NA	NA	NA	NA	NA	NA
OTU173	OTU173	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	NA
OTU174	OTU174	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces pinophilus
OTU175	OTU175	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	NA	NA
OTU176	OTU176	Fungi	Ascomycota	Eurotiomycetes	Onygenales	NA	NA	NA
OTU177	OTU177	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Arnium	NA
OTU178	OTU178	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Geotrichum	Geotrichum europaeum
OTU179	OTU179	Fungi	Olpidiomycota	Olpidiomycetes	Olpidiales	NA	NA	NA
OTU180	OTU180	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU181	OTU181	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU182	OTU182	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Botrytis cinerea
OTU183	OTU183	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia inaequalis
OTU184	OTU184	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	NA	NA	NA
OTU185	OTU185	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU186	OTU186	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU187	OTU187	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideaceae	Endoconidioma	Endoconidioma populi
OTU189	OTU189	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	NA	NA	NA
OTU190	OTU190	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU191	OTU191	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU192	OTU192	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU193	OTU193	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU194	OTU194	Fungi	NA	NA	NA	NA	NA	NA
OTU195	OTU195	Fungi	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Catenariaceae	NA	NA
OTU196	OTU196	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Protomycetaceae	Saitoella	Saitoella coloradoensis
OTU197	OTU197	Fungi	Olpidiomycota	Olpidiomycetes	Olpidiales	Olpidiaceae	Olpidium	Olpidium virulentus
OTU199	OTU199	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA
OTU200	OTU200	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU201	OTU201	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU202	OTU202	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU203	OTU203	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
OTU204	OTU204	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	NA	NA
OTU205	OTU205	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
OTU206	OTU206	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	NA	NA	NA
OTU207	OTU207	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU208	OTU208	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU209	OTU209	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU210	OTU210	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU211	OTU211	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU212	OTU212	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
OTU213	OTU213	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	NA	NA
OTU214	OTU214	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Lecanicillium	Lecanicillium psalliotae
OTU215	OTU215	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	NA
OTU216	OTU216	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU217	OTU217	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Tulostoma	NA
OTU218	OTU218	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	NA	NA
OTU219	OTU219	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	NA	NA	NA
OTU220	OTU220	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU221	OTU221	Fungi	NA	NA	NA	NA	NA	NA
OTU222	OTU222	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	NA
OTU223	OTU223	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU224	OTU224	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	NA	NA
OTU225	OTU225	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	NA
OTU226	OTU226	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	NA
OTU227	OTU227	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Crepidotaceae	Crepidotus	NA
OTU228	OTU228	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	NA	NA
OTU229	OTU229	Fungi	Entomophthoromycota	Basidiobolomycetes	Basidiobolales	Basidiobolaceae	Basidiobolus	Basidiobolus ranarum
OTU230	OTU230	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU231	OTU231	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	NA	NA	NA
OTU232	OTU232	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria embellisia
OTU233	OTU233	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	NA	NA
OTU234	OTU234	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
OTU235	OTU235	Fungi	Ascomycota	Eurotiomycetes	Phaeomoniellales	NA	NA	NA
OTU236	OTU236	Fungi	NA	NA	NA	NA	NA	NA
OTU237	OTU237	Fungi	Mucoromycota	Mucoromycetes	Mucorales	NA	NA	NA
OTU238	OTU238	Fungi	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	NA	NA	NA
OTU239	OTU239	Fungi	Mucoromycota	Mucoromycetes	Mucorales	NA	NA	NA
OTU240	OTU240	Fungi	NA	NA	NA	NA	NA	NA
OTU241	OTU241	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
OTU242	OTU242	Fungi	Ascomycota	Arthoniomycetes	Lichenostigmatales	Phaeococcomycetaceae	Phaeococcomyces	NA
OTU243	OTU243	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU244	OTU244	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU245	OTU245	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU246	OTU246	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	NA	NA	NA
OTU247	OTU247	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU249	OTU249	Fungi	NA	NA	NA	NA	NA	NA
OTU250	OTU250	Fungi	Ascomycota	Dothideomycetes	NA	NA	Catenulomyces	Catenulomyces convolutus
OTU251	OTU251	Fungi	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	NA	NA	NA
OTU252	OTU252	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
OTU253	OTU253	Fungi	Ascomycota	Pezizomycetes	NA	NA	NA	NA
OTU254	OTU254	Fungi	Basidiomycota	Agaricomycetes	Russulales	NA	NA	NA
OTU255	OTU255	Fungi	NA	NA	NA	NA	NA	NA
OTU256	OTU256	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	NA	NA
OTU257	OTU257	Fungi	Ascomycota	Geoglossomycetes	Geoglossales	NA	NA	NA
OTU258	OTU258	Fungi	NA	NA	NA	NA	NA	NA
OTU259	OTU259	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU260	OTU260	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU261	OTU261	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU262	OTU262	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU263	OTU263	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
OTU264	OTU264	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
OTU265	OTU265	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
OTU266	OTU266	Fungi	Rozellomycota	NA	NA	NA	NA	NA
OTU267	OTU267	Fungi	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	NA	NA	NA
OTU268	OTU268	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
OTU269	OTU269	Fungi	Ascomycota	Sordariomycetes	Microascales	NA	NA	NA
OTU271	OTU271	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Tulostoma	NA
OTU272	OTU272	Fungi	NA	NA	NA	NA	NA	NA
OTU273	OTU273	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU274	OTU274	Fungi	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	NA	NA	NA
OTU275	OTU275	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU276	OTU276	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	NA
OTU277	OTU277	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU278	OTU278	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU279	OTU279	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU280	OTU280	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
OTU281	OTU281	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	Acarospora	Acarospora fuscata
OTU282	OTU282	Fungi	NA	NA	NA	NA	NA	NA
OTU283	OTU283	Fungi	NA	NA	NA	NA	NA	NA
OTU284	OTU284	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU285	OTU285	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA
OTU286	OTU286	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
OTU287	OTU287	Fungi	Glomeromycota	Glomeromycetes	Gigasporales	NA	NA	NA
OTU288	OTU288	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU289	OTU289	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU290	OTU290	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	NA	NA
OTU291	OTU291	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	NA	NA
OTU292	OTU292	Fungi	NA	NA	NA	NA	NA	NA
OTU293	OTU293	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU294	OTU294	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU295	OTU295	Fungi	Ascomycota	Dothideomycetes	Jahnulales	NA	NA	NA
OTU296	OTU296	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
OTU297	OTU297	Fungi	Basidiomycota	Tremellomycetes	NA	NA	NA	NA
