"Phylum"	"meanRA"	"sdRA"	"minRA"	"maxRA"
"1"	"D_1__Planctomycetes"	0.0331490896276951	0.000324177638604113	2.67129691465206e-05	0.00459463069320155
"2"	"D_1__Proteobacteria"	0.25813651463956	0.00196624300050454	2.67129691465206e-05	0.0491251502604515
"3"	"D_1__Chloroflexi"	0.0562023820011424	0.000875003760883539	2.67129691465206e-05	0.0247094964605316
"4"	"D_1__Actinobacteria"	0.155840051834527	0.00181676068363442	2.67129691465206e-05	0.0450113530118873
"5"	"D_1__Bacteroidetes"	0.0489330442270148	0.000667290439079063	2.67129691465206e-05	0.0177641244824362
"6"	NA	0.0108380767798937	0.00733967696158206	2.67129691465206e-05	0.165032723387204
"7"	"D_1__Verrucomicrobia"	0.0182421161218452	0.00106131017262164	2.67129691465206e-05	0.0218779217310004
"8"	"D_1__Armatimonadetes"	0.00903296209884367	0.000493850842291466	2.67129691465206e-05	0.0169093094697476
"9"	"D_1__Acidobacteria"	0.0608691945471441	0.00376074347435753	2.67129691465206e-05	0.198076666221451
"10"	"D_1__Cyanobacteria"	0.295273793724726	0.031492290053185	2.67129691465206e-05	0.626045144917858
"11"	"D_1__Nitrospirae"	0.00186536095189108	0.00099275053256795	2.67129691465206e-05	0.0056898624282089
"12"	"D_1__Gemmatimonadetes"	0.0225502928480288	0.000640810258262025	2.67129691465206e-05	0.0109256043809269
"13"	"D_1__Nanoarchaeaeota"	6.82033254804782e-05	8.8105458502829e-05	2.67129691465206e-05	0.00042740750634433
"14"	"D_1__Elusimicrobia"	0.000346131876813427	0.000147257311537619	2.67129691465206e-05	0.000694537197809536
"15"	"D_1__Firmicutes"	0.00254739420669586	0.000578026569654069	2.67129691465206e-05	0.00472819553893415
"16"	"D_1__Thaumarchaeota"	0.0171610934129797	0.00391263297886948	2.67129691465206e-05	0.0294644049686123
"17"	"D_1__Euryarchaeota"	0.000169371591609854	0.000164501193021212	2.67129691465206e-05	0.000881527981835181
"18"	"D_1__FBP"	0.00565746584860567	0.000500716237760467	2.67129691465206e-05	0.00681180713236276
"19"	"D_1__Patescibacteria"	0.000862203706282379	0.000145067791581493	2.67129691465206e-05	0.00125550954988647
"20"	"D_1__Deinococcus-Thermus"	0.000712724751270997	0.000173202680688803	2.67129691465206e-05	0.00133564845732603
"21"	"D_1__WPS-2"	0.000763877245381356	0.00564861997145859	2.67129691465206e-05	0.0320555629758248
"22"	"D_1__Entotheonellaeota"	0.000196652921802046	0.000449238821904211	2.67129691465206e-05	0.00267129691465206
"23"	"D_1__Fibrobacteres"	0.000240985083364356	0.00026387828627517	2.67129691465206e-05	0.00117537064244691
"24"	"D_1__BRC1"	0.000190400950299668	8.15498934091064e-05	2.67129691465206e-05	0.000347268598904768
"25"	"D_1__Dependentiae"	2.27344418268261e-05	6.54331439236858e-05	2.67129691465206e-05	0.000240416722318686
"26"	"D_1__SAR"	2.27344418268261e-06	3.77778432582635e-05	2.67129691465206e-05	8.01389074395619e-05
"27"	"D_1__Chlamydiae"	8.24123516222445e-05	0.000173462977950921	2.67129691465206e-05	0.000667824228663016
"28"	"D_1__Omnitrophicaeota"	1.47773871874369e-05	7.49234102416193e-05	2.67129691465206e-05	0.000213703753172165
"29"	"D_1__WS2"	1.70508313701196e-05	5.66667648873953e-05	2.67129691465206e-05	0.000186990784025644
"30"	"D_1__Fusobacteria"	7.95705463938913e-06	3.48294505420203e-05	2.67129691465206e-05	0.000106851876586083
"31"	"D_1__Rokubacteria"	3.41016627402391e-06	7.5555686516527e-05	2.67129691465206e-05	0.000133564845732603
